ID,Country,Place.Name,Latitude,Longitude
8850,DE,Ofteringen,47.6833,8.3833
4755,DE,Gaienhofen,47.6833,8.9833
8657,DE,Wildberg,47.6833,10.5167
2422,DE,Murnau,47.6833,11.2
2287,DE,Lenggries,47.6833,11.5667
7468,DE,Oberhof,47.6833,11.75
8199,DE,Reichenau,47.6833,12.25
8031,DE,Birnbach,47.6833,12.45
2354,DE,Isny,47.6884,10.041
6995,DE,Isny Im Allg<e4>u,47.6884,10.041
436,DE,Meckenbeuren,47.6908,9.5572
4096,DE,Wangen Im Allg<e4>u,47.6939,9.829
5529,DE,Zell Im Wiesental,47.7,7.85
5695,DE,Eggingen,47.7,8.4
3909,DE,Gailingen,47.7,8.75
3979,DE,Buchenberg,47.7,10.2333
1517,DE,Durach,47.7,10.35
5336,DE,G<f6>risried,47.7,10.5
6011,DE,Lechbruck,47.7,10.8
8827,DE,Grubweidach,47.7,10.8
3784,DE,Benediktbeuern,47.7,11.4
4700,DE,Rottach-egern,47.7,11.7667
6263,DE,Marktschellenberg,47.7,13.0333
2474,DE,Tegernsee,47.7054,11.7696
5042,DE,Amtzell,47.7129,9.7623
1984,DE,Kandern,47.7146,7.6545
5527,DE,<dc>hlingen-birkendorf,47.7167,8.3167
5528,DE,<dc>hlingen,47.7167,8.3167
6044,DE,Unteruhldingen,47.7167,9.2333
3638,DE,Daisendorf,47.7167,9.2667
4337,DE,Oberteuringen,47.7167,9.4667
1515,DE,Kempten,47.7167,10.3167
7719,DE,Wald,47.7167,10.55
6033,DE,Uffing,47.7167,11.15
3377,DE,Sindelsdorf,47.7167,11.3333
5075,DE,Bichl,47.7167,11.4167
3873,DE,Bad Wiessee,47.7167,11.7167
5827,DE,Flintsbach,47.7167,12.1333
7947,DE,Karlstein,47.7167,12.85
2068,DE,Bayerisch Gmain,47.7167,12.9
1732,DE,Kempten,47.7177,10.2989
1807,DE,Markdorf,47.7194,9.3952
505,DE,Kempten,47.7229,10.3288
2547,DE,Allensbach,47.7233,9.0724
2151,DE,Bad Reichenhall,47.7242,12.879
4256,DE,Bad Bellingen,47.7269,7.5622
5111,DE,St<fc>hlingen,47.7333,8.4333
3687,DE,Gottmadingen,47.7333,8.7833
4234,DE,Rielasingen-worblingen,47.7333,8.8333
6045,DE,Moos,47.7333,8.9333
437,DE,Radolfzell,47.7333,8.9667
1791,DE,Uhldingen-m<fc>hlhofen,47.7333,9.25
3571,DE,Bermatingen,47.7333,9.35
6,DE,Rohrdorf,47.7333,10.0833
8655,DE,Ermengerst,47.7333,10.2667
3937,DE,Betzigau,47.7333,10.3833
6164,DE,Bernbeuren,47.7333,10.7833
4792,DE,Rottenbuch,47.7333,10.9667
3344,DE,Eglfing,47.7333,11.1833
8204,DE,Bach,47.7333,11.5333
3335,DE,Schliersee,47.7333,11.8667
4923,DE,Unterw<f6>ssen,47.7333,12.4667
5239,DE,Todtmoos,47.7384,7.9989
2518,DE,Brannenburg,47.7399,12.1037
4553,DE,Bad Heilbrunn,47.7424,11.4552
3588,DE,Ruhpolding,47.7425,12.6367
2343,DE,Schliengen,47.75,7.5833
5825,DE,Birkendorf,47.75,8.3167
5659,DE,M<fc>hlhofen,47.75,9.2667
3983,DE,Gr<fc>nkraut,47.75,9.65
8,DE,Beuren,47.75,10.0167
4703,DE,Wiggensbach,47.75,10.2333
6947,DE,Oberthingau,47.75,10.5167
4649,DE,B<f6>bing,47.75,10.9833
4054,DE,Gai<df>ach,47.75,11.5833
4722,DE,Gmund,47.75,11.7333
7745,DE,Am See,47.75,11.7333
3265,DE,Hausham,47.75,11.85
1013,DE,Bad T<f6>lz,47.7547,11.5678
2109,DE,Bad Toelz,47.7547,11.5678
5791,DE,Gmund Am Tegernsee,47.7552,11.7358
434,DE,Singen,47.7583,8.8413
1831,DE,Marktoberdorf,47.7612,10.5993
1340,DE,Penzberg,47.762,11.3664
2113,DE,Piding,47.7627,12.9002
4023,DE,Samerberg,47.7638,12.1965
2484,DE,Waakirchen,47.7653,11.6894
7046,DE,Grafenhausen,47.7667,8.2667
3562,DE,Hilzingen,47.7667,8.7833
8658,DE,Weiherhof,47.7667,8.9167
11,DE,Kappel,47.7667,9.45
3592,DE,Waldburg,47.7667,9.7167
8010,DE,Neuhaus,47.7667,9.7833
4578,DE,Wildpoldsried,47.7667,10.4
4288,DE,Huglfing,47.7667,11.1667
5715,DE,Oberhausen,47.7667,11.1667
3396,DE,Iffeldorf,47.7667,11.3167
4701,DE,Greiling,47.7667,11.6167
3856,DE,Reichersbeuern,47.7667,11.6333
8064,DE,Kirchdorf,47.7667,12.1
5058,DE,Marquartstein,47.7667,12.4667
2111,DE,<dc>berlingen,47.7683,9.1716
6777,DE,Ravensburg,47.7715,9.5575
4090,DE,Schlier,47.7718,9.6669
8030,DE,Feldberg,47.7736,7.6414
2800,DE,Neubeuern,47.774,12.1398
5024,DE,Bad Feilnbach,47.7788,12.0011
7344,DE,Aschau,47.7804,12.3209
1671,DE,Ravensburg,47.7814,9.6118
289,DE,Ravensburg,47.7815,9.6183
3441,DE,Grassau,47.7817,12.4349
3995,DE,Auggen,47.7833,7.6
6780,DE,Sch<f6>nau,47.7833,7.9
8826,DE,Wittenhofen,47.7833,9.4
2311,DE,Ki<df>legg,47.7833,9.8833
303,DE,Lauben,47.7833,10.3
4702,DE,Unterthingau,47.7833,10.4667
