shop_id,shop_postcode,warehouse_postcode,distance_km
239,BN5,BN5,0.0
240,BN6,BN6,0.0
241,BN7,BN7,0.0
242,BN8,BN8,0.0
243,BN9,BN9,0.0
244,BR1,BR1,0.0
245,BR2,BR2,0.0
246,BR3,BR3,0.0
247,BR4,BR4,0.0
248,BR5,BR5,0.0
249,BR6,BR6,0.0
250,BR7,BR7,0.0
251,BR8,BR8,0.0
252,BS1,BS1,0.0
253,BS10,BS10,0.0
254,BS11,BS11,0.0
255,BS13,BS13,0.0
256,BS14,BS14,0.0
257,BS15,BS15,0.0
258,BS16,BS16,0.0
259,BS2,BS2,0.0
260,BS20,BS20,0.0
261,BS21,BS21,0.0
262,BS22,BS22,0.0
263,BS23,BS23,0.0
264,BS24,BS24,0.0
265,BS25,BS25,0.0
266,BS26,BS26,0.0
267,BS27,BS27,0.0
268,BS28,BS28,0.0
269,BS29,BS29,0.0
270,BS3,BS3,0.0
271,BS30,BS30,0.0
272,BS31,BS31,0.0
273,BS32,BS32,0.0
274,BS34,BS34,0.0
275,BS35,BS35,0.0
276,BS36,BS36,0.0
277,BS37,BS37,0.0
278,BS39,BS39,0.0
279,BS4,BS4,0.0
280,BS40,BS40,0.0
281,BS41,BS41,0.0
282,BS48,BS48,0.0
283,BS49,BS49,0.0
284,BS5,BS5,0.0
285,BS6,BS6,0.0
286,BS7,BS7,0.0
287,BS8,BS8,0.0
288,BS9,BS9,0.0
289,BS99,BS99,0.0
290,BT1,BT1,0.0
291,BT10,BT10,0.0
292,BT11,BT11,0.0
293,BT12,BT12,0.0
294,BT13,BT13,0.0
295,BT14,BT14,0.0
296,BT15,BT15,0.0
297,BT16,BT16,0.0
298,BT17,BT17,0.0
299,BT18,BT18,0.0
300,BT19,BT19,0.0
301,BT2,BT2,0.0
302,BT20,BT20,0.0
303,BT21,BT21,0.0
304,BT22,BT22,0.0
305,BT23,BT23,0.0
306,BT24,BT24,0.0
307,BT25,BT25,0.0
308,BT26,BT26,0.0
309,BT27,BT27,0.0
310,BT28,BT28,0.0
311,BT29,BT29,0.0
312,BT3,BT3,0.0
313,BT30,BT30,0.0
314,BT31,BT31,0.0
315,BT32,BT32,0.0
316,BT33,BT33,0.0
317,BT34,BT34,0.0
318,BT35,BT35,0.0
319,BT36,BT36,0.0
320,BT37,BT37,0.0
321,BT38,BT38,0.0
322,BT39,BT39,0.0
323,BT4,BT4,0.0
324,BT40,BT40,0.0
325,BT41,BT41,0.0
326,BT42,BT42,0.0
327,BT43,BT43,0.0
328,BT44,BT44,0.0
329,BT45,BT45,0.0
330,BT46,BT46,0.0
331,BT47,BT47,0.0
332,BT48,BT48,0.0
333,BT49,BT49,0.0
334,BT5,BT5,0.0
335,BT51,BT51,0.0
336,BT52,BT52,0.0
337,BT53,BT53,0.0
338,BT54,BT54,0.0
339,BT55,BT55,0.0
340,BT56,BT56,0.0
341,BT57,BT57,0.0
342,BT6,BT6,0.0
343,BT60,BT60,0.0
344,BT61,BT61,0.0
345,BT62,BT62,0.0
346,BT63,BT63,0.0
347,BT64,BT64,0.0
348,BT65,BT65,0.0
349,BT66,BT66,0.0
350,BT67,BT67,0.0
351,BT68,BT68,0.0
352,BT69,BT69,0.0
353,BT7,BT7,0.0
354,BT70,BT70,0.0
355,BT71,BT71,0.0
356,BT74,BT74,0.0
357,BT75,BT75,0.0
358,BT76,BT76,0.0
359,BT77,BT77,0.0
360,BT78,BT78,0.0
361,BT79,BT79,0.0
362,BT8,BT8,0.0
363,BT80,BT80,0.0
364,BT81,BT81,0.0
365,BT82,BT82,0.0
366,BT9,BT9,0.0
367,BT92,BT92,0.0
368,BT93,BT93,0.0
369,BT94,BT94,0.0
370,CA1,CA1,0.0
371,CA10,CA10,0.0
372,CA11,CA11,0.0
373,CA12,CA12,0.0
374,CA13,CA13,0.0
375,CA14,CA14,0.0
376,CA15,CA15,0.0
377,CA16,CA16,0.0
378,CA17,CA17,0.0
379,CA18,CA18,0.0
380,CA19,CA19,0.0
381,CA2,CA2,0.0
382,CA20,CA20,0.0
383,CA21,CA21,0.0
384,CA22,CA22,0.0
385,CA23,CA23,0.0
386,CA24,CA24,0.0
387,CA25,CA25,0.0
